numeroCuenta,nombre,creditos,calificacion,contrasena,numeroInscripcion,semestre
375850605,Laura Sánchez Díaz,20.19,6.76,pass375850605,172.1620,9
648297571,Francisco Jiménez Rodríguez,21.92,6.37,pass648297571,191.3644,7
013864022,Isabel Gómez López,20.29,7.65,pass013864022,196.8986,7
116078993,Laura Martin Hernández,20.12,7.98,pass116078993,201.9304,10
522935679,Francisco Álvarez Jiménez,22.85,6.34,pass522935679,206.8941,5
022864457,Juan Martínez Gómez,22.49,6.97,pass022864457,220.2920,7
372434489,Pedro Pérez Martínez,20.72,8.58,pass372434489,230.1066,7
228503617,Daniel Martínez Jiménez,21.24,8.28,pass228503617,233.2605,6
013724390,José Sánchez Fernández,20.50,9.08,pass013724390,238.4143,1
598706937,Francisco Martínez Ruiz,20.39,9.52,pass598706937,247.4455,2
841532069,Juan Pérez González,22.44,8.66,pass841532069,272.4584,1
412079975,David Gómez Jiménez,26.47,6.25,pass412079975,273.8295,2
723613174,Luis Jiménez Fernández,22.95,8.42,pass723613174,277.3513,6
567503254,Francisco Rodríguez Martínez,24.24,7.59,pass567503254,278.7373,10
282573750,Sofia González Jiménez,22.66,9.34,pass282573750,299.6759,5
174662393,Juan Martínez Álvarez,23.28,9.24,pass174662393,313.0522,2
673350313,Isabel Martin Álvarez,28.82,6.53,pass673350313,338.8235,2
650898860,Pedro Martin Martin,25.24,8.78,pass650898860,349.7821,10
685550550,Monica Martin López,28.61,7.16,pass685550550,366.2013,10
890163902,Sofia Pérez Hernández,31.61,6.08,pass890163902,379.7633,8
712523376,Elena López Díaz,27.38,8.43,pass712523376,395.0828,5
355050184,José Rodríguez Martin,26.00,9.80,pass355050184,414.1802,8
333582384,Sofia Fernández Fernández,26.80,9.30,pass333582384,417.4986,1
184064931,Ana Moreno Ruiz,27.83,9.08,pass184064931,439.3136,1
794159781,Carmen Martin Jiménez,26.98,9.71,pass794159781,441.6992,10
833822012,Lucia Fernández Díaz,27.09,9.66,pass833822012,443.1922,10
413250246,Miguel Muñoz Díaz,31.84,7.07,pass413250246,448.1288,6
862505448,Ana Díaz Pérez,33.00,6.78,pass862505448,461.4244,10
391507411,Pedro Moreno Sánchez,30.16,8.78,pass391507411,499.1095,5
735179664,Pedro López García,32.31,7.67,pass735179664,500.3425,5
142533518,Carlos Martin Álvarez,33.29,7.28,pass142533518,504.3217,1
862939702,Antonio Díaz García,35.18,6.53,pass862939702,505.3989,9
382180517,David Pérez Pérez,36.11,6.57,pass382180517,535.1914,5
733462775,Carlos Muñoz Gómez,35.08,7.00,pass733462775,538.6224,8
565080041,José Díaz Ruiz,30.06,9.61,pass565080041,542.8875,5
635987093,Lucia Moreno Moreno,31.61,9.03,pass635987093,563.7938,10
