numeroCuenta,nombre,creditos,calificacion,contrasena,numeroInscripcion,semestre
239427319,Carlos López Rodríguez,80.34,9.72,pass239427319,1.0000,2
583014730,Daniel Díaz Fernández,88.63,7.95,pass583014730,2.0000,4
343074870,Francisco Gómez Moreno,306.96,7.04,pass343074870,3.0000,3
366261141,Carmen Martin García,321.70,7.50,pass366261141,4.0000,6
702104604,Isabel Moreno Moreno,211.05,6.54,pass702104604,5.0000,4
882534736,Carmen Ruiz Díaz,388.79,9.56,pass882534736,6.0000,2
099133559,Daniel Álvarez González,68.74,9.51,pass099133559,7.0000,9
522232831,Sofia García Moreno,389.34,9.72,pass522232831,8.0000,7
802930731,Luis Pérez Martin,297.70,7.02,pass802930731,9.0000,8
756619459,Lucia López Ruiz,149.34,8.92,pass756619459,10.0000,2
322859086,Antonio Martínez Ruiz,91.27,9.52,pass322859086,11.0000,3
999230612,Francisco Álvarez Martínez,332.01,7.92,pass999230612,12.0000,9
741926384,Carlos Rodríguez Martin,46.58,7.39,pass741926384,13.0000,5
837912216,Carlos Sánchez Martínez,136.98,8.64,pass837912216,14.0000,7
639302847,David Álvarez González,229.26,8.54,pass639302847,15.0000,8
333085055,Carlos Moreno Álvarez,264.42,6.55,pass333085055,16.0000,5
423094610,Carlos Álvarez Jiménez,54.84,6.35,pass423094610,17.0000,7
796514746,Patricia Sánchez López,166.75,6.41,pass796514746,18.0000,3
103623705,Luis Martin Martínez,261.63,7.37,pass103623705,19.0000,10
834790480,Francisco González Martin,381.56,9.55,pass834790480,20.0000,3
137294119,Lucia Díaz González,108.73,8.75,pass137294119,21.0000,4
418342806,José Fernández Rodríguez,118.28,6.73,pass418342806,22.0000,10
337113952,Juan Díaz Jiménez,222.50,7.45,pass337113952,23.0000,8
942459802,David Álvarez Sánchez,63.56,7.33,pass942459802,24.0000,6
320853877,Carmen Martin Fernández,389.82,7.97,pass320853877,25.0000,8
070205159,Miguel Pérez Martin,262.02,9.27,pass070205159,26.0000,9
832741965,Isabel Muñoz Martínez,141.21,9.16,pass832741965,27.0000,1
032013822,José Ruiz Jiménez,298.68,6.28,pass032013822,28.0000,4
398814372,María Fernández Hernández,384.95,8.79,pass398814372,29.0000,5
576898882,Ana Fernández Fernández,346.62,6.02,pass576898882,30.0000,9
612934582,Isabel Moreno Pérez,66.54,6.83,pass612934582,31.0000,7
682993192,Patricia Fernández Álvarez,139.15,8.75,pass682993192,32.0000,4
077816541,Elena Pérez Díaz,147.74,6.24,pass077816541,33.0000,2
557091926,Laura González Gómez,132.81,9.18,pass557091926,34.0000,1
515606339,Monica Díaz Rodríguez,266.75,6.00,pass515606339,35.0000,4
145603717,Antonio González Muñoz,371.03,6.28,pass145603717,36.0000,1
487809720,Laura Moreno Rodríguez,255.13,9.84,pass487809720,37.0000,2
763473356,Carmen Muñoz González,252.63,9.22,pass763473356,38.0000,8
096645460,Juan Martin Muñoz,25.97,6.65,pass096645460,39.0000,10
890582149,Isabel Rodríguez Ruiz,253.73,6.70,pass890582149,40.0000,9
934444747,Monica García Fernández,360.33,6.91,pass934444747,41.0000,4
940156385,Laura Rodríguez Sánchez,163.73,9.39,pass940156385,42.0000,3
934670772,Carlos Pérez Rodríguez,240.44,8.37,pass934670772,43.0000,8
048551946,Sofia Martínez Álvarez,187.47,7.58,pass048551946,44.0000,6
328963276,José González Muñoz,265.54,7.40,pass328963276,45.0000,4
135795500,Juan Álvarez Sánchez,197.48,9.10,pass135795500,46.0000,5
799828540,Elena Álvarez González,33.42,6.66,pass799828540,47.0000,9
421794253,Elena García Fernández,377.79,6.91,pass421794253,48.0000,4
434163846,Carlos Martínez Fernández,142.31,7.75,pass434163846,49.0000,4
515044054,Sofia Sánchez Sánchez,27.27,7.90,pass515044054,50.0000,3
428469767,Carlos Pérez García,136.33,8.48,pass428469767,51.0000,8
027764818,Laura Martínez Jiménez,384.96,6.57,pass027764818,52.0000,10
487820782,María Rodríguez Álvarez,335.03,6.50,pass487820782,53.0000,6
381170386,Lucia Fernández González,268.68,9.23,pass381170386,54.0000,3
366511628,Carlos Muñoz Jiménez,325.64,7.13,pass366511628,55.0000,6
977778009,Lucia Sánchez Martin,253.37,7.35,pass977778009,56.0000,8
561539689,José Rodríguez Álvarez,134.29,6.75,pass561539689,57.0000,3
146306622,Elena García Fernández,366.66,6.70,pass146306622,58.0000,7
235420121,Ana González López,140.01,6.16,pass235420121,59.0000,4
808107063,Antonio Martínez Martin,90.87,7.50,pass808107063,60.0000,3
478765667,Laura Muñoz Jiménez,20.69,9.93,pass478765667,61.0000,10
564639907,Monica Hernández Martínez,286.80,8.00,pass564639907,62.0000,2
890005345,Lucia López Díaz,110.08,8.82,pass890005345,63.0000,6
823417808,Lucia Álvarez Rodríguez,251.45,9.03,pass823417808,64.0000,9
227690590,Elena Rodríguez Díaz,356.80,6.81,pass227690590,65.0000,1
042062118,Laura Moreno Jiménez,327.46,7.94,pass042062118,66.0000,6
588656132,Francisco Muñoz Pérez,34.90,9.81,pass588656132,67.0000,6
341318532,Antonio Ruiz Moreno,46.09,9.81,pass341318532,68.0000,1
626969868,Ana Fernández Martínez,105.38,7.88,pass626969868,69.0000,7
894565444,Luis Álvarez Fernández,107.36,7.19,pass894565444,70.0000,9
253121850,Laura López Pérez,293.00,7.87,pass253121850,71.0000,4
032499899,Francisco Jiménez Moreno,65.89,8.39,pass032499899,72.0000,7
583181859,Daniel García Díaz,335.47,6.99,pass583181859,73.0000,3
420904844,Monica Martin Martin,139.58,6.41,pass420904844,74.0000,9
501042661,Monica García Díaz,243.73,8.46,pass501042661,75.0000,9
146444366,Sofia Hernández Sánchez,209.42,7.29,pass146444366,76.0000,6
627942263,José Jiménez Pérez,304.15,7.63,pass627942263,77.0000,6
784312367,Antonio Pérez Martínez,156.96,7.17,pass784312367,78.0000,3
843825186,Ana Ruiz Fernández,55.21,6.47,pass843825186,79.0000,5
063721214,Sofia García Martínez,242.04,9.91,pass063721214,80.0000,3
974379452,María Díaz Fernández,331.94,7.41,pass974379452,81.0000,1
651986393,David López Fernández,186.09,9.25,pass651986393,82.0000,2
188614764,Patricia Hernández Fernández,148.71,8.47,pass188614764,83.0000,2
936205501,Patricia Ruiz Martin,118.50,9.93,pass936205501,84.0000,10
534111052,Pedro López Sánchez,142.08,6.64,pass534111052,85.0000,5
151486143,Elena Pérez Gómez,337.88,7.98,pass151486143,86.0000,10
043092275,Daniel Hernández González,336.35,9.12,pass043092275,87.0000,10
126531377,María Jiménez Gómez,232.65,6.19,pass126531377,88.0000,3
580376640,Francisco López Díaz,330.33,7.81,pass580376640,89.0000,1
448269916,Patricia López Díaz,250.82,6.47,pass448269916,90.0000,3
076392901,David Díaz Sánchez,148.94,9.06,pass076392901,91.0000,7
228450224,Monica Rodríguez González,117.72,8.39,pass228450224,92.0000,3
808088161,Juan Sánchez Pérez,270.60,9.84,pass808088161,93.0000,9
018648629,Pedro Fernández Sánchez,90.20,8.42,pass018648629,94.0000,2
